ANO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P801_1,P801_2,P801_3,P801_4,P801_5,P801_6,P801_7,P801_8,P801_9,P801_10,P801_11,P801_12,P801_13,P801_14,P801_15,P801_16,P801_17,P801_20,P801_18,P801_19,P806,TICUEST01,FACTOR07,NCONGLOME,SUB_CONGLOME
2022,01,005886,040,11,060801,7,3,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,768.868530273438,004673,00
2022,01,005886,059,11,060801,7,3,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,768.868530273438,004673,00
2022,01,005886,094,11,060801,7,3,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,768.868530273438,004673,00
2022,01,005886,104,11,060801,7,3,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,768.868530273438,004673,00
2022,01,005886,147,11,060801,7,3,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,768.868530273438,004673,00
2022,01,005893,011,11,060401,4,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,622.196166992188,005237,00
2022,01,005893,022,11,060401,4,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,622.196166992188,005237,00
2022,01,005893,044,11,060401,4,5,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,622.196166992188,005237,00
2022,01,005893,057,11,060401,4,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,622.196166992188,005237,00
2022,01,005893,066,11,060401,4,5,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,622.196166992188,005237,00
2022,01,005893,078,11,060401,4,5,01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,622.196166992188,005237,00
2022,01,005944,026,11,060411,4,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,005944,027,11,060411,4,7,02,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,2,327.983245849609,005163,00
2022,01,005944,032,11,060411,4,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,005944,135,11,060411,4,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,005944,136,11,060411,4,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,005944,137,11,060411,4,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,005944,140,11,060411,4,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,327.983245849609,005163,00
2022,01,006011,003,11,061004,4,6,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,008,11,061004,4,6,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,016,11,061004,4,6,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,023,11,061004,4,6,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,031,11,061004,4,6,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,046,11,061004,4,6,02,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,327.983245849609,006274,00
2022,01,006011,056,11,061004,4,6,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006011,066,11,061004,4,6,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,327.983245849609,006274,00
2022,01,006032,010,11,070106,8,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,198.035461425781,017331,00
2022,01,006032,041,11,070106,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,198.035461425781,017331,00
2022,01,006032,057,11,070106,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,198.035461425781,017331,00
2022,01,006032,087,11,070106,8,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,198.035461425781,017331,00
2022,01,006032,102,11,070106,8,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,198.035461425781,017331,00
2022,01,006032,131,11,070106,8,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,198.035461425781,017331,00
2022,01,006092,056,11,070102,8,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,410.421447753906,017863,00
2022,01,006092,078,11,070102,8,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,410.421447753906,017863,00
2022,01,006092,100,11,070102,8,1,02,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,2,410.421447753906,017863,00
2022,01,006092,123,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,410.421447753906,017863,00
2022,01,006092,167,11,070102,8,1,01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,410.421447753906,017863,00
2022,01,006092,232,11,070102,8,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,410.421447753906,017863,00
2022,01,006099,019,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,80.6065902709961,017917,00
2022,01,006099,035,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,80.6065902709961,017917,00
2022,01,006099,049,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,80.6065902709961,017917,00
2022,01,006099,095,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,80.6065902709961,017917,00
2022,01,006099,122,11,070102,8,1,00,99, , , , , , , , , , , , , , , , , , , , ,2,80.6065902709961,017917,00
2022,01,006193,007,11,080105,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,706.559753417969,037618,00
2022,01,006193,028,11,080105,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,706.559753417969,037618,00
2022,01,006193,038,11,080105,6,2,02,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,706.559753417969,037618,00
2022,01,006193,048,11,080105,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,706.559753417969,037618,00
2022,01,006193,059,11,080105,6,2,02,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,706.559753417969,037618,00
2022,01,006201,115,11,080108,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,77.7377243041992,037729,00
2022,01,006201,173,11,080108,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,77.7377243041992,037729,00
2022,01,006201,192,11,080108,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,77.7377243041992,037729,00
2022,01,006201,211,11,080108,6,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,77.7377243041992,037729,00
2022,01,006230,005,11,080901,7,4,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,6.9476113319397,037008,00
2022,01,006230,033,11,080901,7,4,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,6.9476113319397,037008,00
2022,01,006230,045,11,080901,7,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,6.9476113319397,037008,00
2022,01,006230,069,11,080901,7,4,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,6.9476113319397,037008,00
